Conta Origem	Conta Destino	Data	Hora	Montante	DataHora
67554-0	51740-7	11/10/2006	09:37	469,92	11/10/2006 09:37
32908-1	22998-1	13/10/2006	12:00	20000	13/10/2006 12:00
22998-1	34098-8	13/10/2006	12:15	19000	13/10/2006 12:15
34098-8	67554-0	13/10/2006	12:45	18500	13/10/2006 12:45
32908-1	51740-7	13/10/2006	10:31	132,65	13/10/2006 10:31
51740-7	34098-8	13/10/2006	20:14	1500	13/10/2006 20:14
22998-1	51740-7	13/10/2006	12:24	716,61	13/10/2006 12:24
34089-1	67554-0	13/10/2006	14:01	138,83	13/10/2006 14:01
32908-1	34098-8	16/10/2006	16:00	25000	16/10/2006 16:00
34098-8	67554-0	16/10/2006	16:05	23800	16/10/2006 16:05
32908-1	31985-9	16/10/2006	14:15	824,07	16/10/2006 14:15
67554-0	33008-3	16/10/2006	16:20	109,43	16/10/2006 16:20
32908-1	48902-0	16/10/2006	08:04	37,07	16/10/2006 08:04
48902-0	34098-8	17/10/2006	16:10	2028,59	17/10/2006 16:10
32908-1	26950-1	17/10/2006	17:52	5,86	17/10/2006 17:52
32908-1	33008-3	17/10/2006	08:53	35,88	17/10/2006 08:53
67554-0	20791-5	18/10/2006	09:50	1,86	18/10/2006 09:50
33061-1	34098-8	18/10/2006	10:45	65,17	18/10/2006 10:45
42008-4	34098-8	18/10/2006	09:43	6638,35	18/10/2006 09:43
67554-0	51740-7	18/10/2006	14:11	7762,33	18/10/2006 14:11
32908-1	33008-3	19/10/2006	07:46	270,09	19/10/2006 07:46
51740-7	22998-1	19/10/2006	20:28	972,01	19/10/2006 20:28
32908-1	31985-9	19/10/2006	12:38	211,54	19/10/2006 12:38
67554-0	31985-9	20/10/2006	09:15	251,19	20/10/2006 09:15
51740-7	34098-8	20/10/2006	11:54	88,06	20/10/2006 11:54
67554-0	38652-2	20/10/2006	14:29	886,64	20/10/2006 14:29
32908-1	34098-8	20/10/2006	14:15	595,2	20/10/2006 14:15
33061-1	22998-1	20/10/2006	16:34	99,47	20/10/2006 16:34
67554-0	51740-7	20/10/2006	18:06	598,91	20/10/2006 18:06
32908-1	22998-1	23/10/2006	09:56	10000	23/10/2006 09:56
22998-1	34098-8	23/10/2006	10:12	9800	23/10/2006 10:12
34098-8	67554-0	23/10/2006	10:16	9750	23/10/2006 10:16
32908-1	30021-8	23/10/2006	20:41	794,6	23/10/2006 20:41
42008-4	22998-1	23/10/2006	12:47	220,75	23/10/2006 12:47
32908-1	33061-1	23/10/2006	16:24	4516,58	23/10/2006 16:24
51740-7	34098-8	23/10/2006	08:00	171,08	23/10/2006 08:00
38652-2	32908-1	23/10/2006	18:06	537,23	23/10/2006 18:06
67554-0	34098-8	24/10/2006	09:16	972,92	24/10/2006 09:16
20791-5	32908-1	24/10/2006	10:04	432,13	24/10/2006 10:04
51740-7	43990-8	24/10/2006	09:29	74,73	24/10/2006 09:29
34089-1	34098-8	24/10/2006	10:59	418,85	24/10/2006 10:59
32908-1	22998-1	25/10/2006	14:33	30000	25/10/2006 14:33
22998-1	34098-8	25/10/2006	14:47	28300	25/10/2006 14:47
34098-8	67554-0	25/10/2006	14:56	26450	25/10/2006 14:56
51740-7	22998-1	25/10/2006	09:22	627,33	25/10/2006 09:22
32908-1	34098-8	25/10/2006	12:08	250,68	25/10/2006 12:08
33008-3	32908-1	25/10/2006	09:30	9,97	25/10/2006 09:30
67554-0	20791-5	25/10/2006	20:42	24,13	25/10/2006 20:42
34098-8	48902-0	25/10/2006	08:14	132,73	25/10/2006 08:14
32908-1	27831-2	26/10/2006	07:43	484,49	26/10/2006 07:43
27831-2	22998-1	26/10/2006	20:55	57,51	26/10/2006 20:55
22998-1	30021-8	26/10/2006	14:43	428,48	26/10/2006 14:43
31985-9	32908-1	26/10/2006	10:18	97,19	26/10/2006 10:18
51740-7	22998-1	27/10/2006	08:32	574,78	27/10/2006 08:32
51740-7	48902-0	27/10/2006	13:01	539,3	27/10/2006 13:01
12650-3	34098-8	27/10/2006	16:38	214,61	27/10/2006 16:38
32908-1	34098-8	30/10/2006	21:21	12500	30/10/2006 21:21
34098-8	67554-0	30/10/2006	21:42	11900	30/10/2006 21:42
43990-8	34098-8	30/10/2006	13:50	3482,46	30/10/2006 13:50
32908-1	34089-1	30/10/2006	13:54	94,43	30/10/2006 13:54
32908-1	33061-1	30/10/2006	09:36	830,37	30/10/2006 09:36
22998-1	48902-0	30/10/2006	07:57	7116,64	30/10/2006 07:57
67554-0	33008-3	30/10/2006	09:43	55,47	30/10/2006 09:43
67554-0	51740-7	31/10/2006	12:17	99,26	31/10/2006 12:17
33061-1	34098-8	31/10/2006	16:13	885,35	31/10/2006 16:13
32908-1	51740-7	31/10/2006	08:46	841,56	31/10/2006 08:46
51740-7	32908-1	31/10/2006	12:22	605,25	31/10/2006 12:22
32908-1	22998-1	1/11/2006	11:47	23900	1/11/2006 11:47
22998-1	34098-8	1/11/2006	11:59	23400	1/11/2006 11:59
34098-8	67554-0	1/11/2006	12:18	22950	1/11/2006 12:18
32908-1	34098-8	1/11/2006	17:45	3087,16	1/11/2006 17:45
32908-1	33008-3	1/11/2006	14:22	86,64	1/11/2006 14:22
32908-1	31985-9	1/11/2006	14:04	200,77	1/11/2006 14:04
42008-4	34098-8	1/11/2006	16:27	97,87	1/11/2006 16:27
34098-8	29102-6	1/11/2006	21:09	5613,98	1/11/2006 21:09
20791-5	22998-1	1/11/2006	09:50	51,88	1/11/2006 09:50
32908-1	51740-7	2/11/2006	10:38	9125,85	2/11/2006 10:38
32908-1	34089-1	2/11/2006	12:31	26,34	2/11/2006 12:31
51740-7	32908-1	2/11/2006	17:59	509,12	2/11/2006 17:59
67554-0	42008-4	2/11/2006	13:15	4260,1	2/11/2006 13:15
32908-1	34098-8	3/11/2006	20:21	624,4	3/11/2006 20:21
29102-6	22998-1	3/11/2006	14:08	759,94	3/11/2006 14:08
34098-8	31985-9	3/11/2006	09:44	852,92	3/11/2006 09:44
32908-1	22998-1	6/11/2006	10:01	9800	6/11/2006 10:01
22998-1	34098-8	6/11/2006	10:29	9650	6/11/2006 10:29
34098-8	67554-0	6/11/2006	10:39	9540	6/11/2006 10:39
51740-7	34098-8	6/11/2006	09:57	883,24	6/11/2006 09:57
32908-1	20791-5	6/11/2006	17:59	3392,44	6/11/2006 17:59
30021-8	32908-1	6/11/2006	09:00	71,02	6/11/2006 09:00
32908-1	31985-9	7/11/2006	07:53	173,15	7/11/2006 07:53
33008-3	22998-1	7/11/2006	10:52	998,96	7/11/2006 10:52
34098-8	27831-2	7/11/2006	08:11	524,72	7/11/2006 08:11
34098-8	48902-0	7/11/2006	14:18	147,68	7/11/2006 14:18
22998-1	31985-9	7/11/2006	18:13	7764,1	7/11/2006 18:13
67554-0	38652-2	8/11/2006	16:17	371,63	8/11/2006 16:17
32908-1	51740-7	8/11/2006	09:22	1161,25	8/11/2006 09:22
22297-5	67554-0	8/11/2006	20:35	98,71	8/11/2006 20:35
34098-8	67554-0	8/11/2006	12:45	4965,29	8/11/2006 12:45
32908-1	22998-1	9/11/2006	19:12	18600	9/11/2006 19:12
22998-1	34098-8	9/11/2006	19:23	18500	9/11/2006 19:23
34098-8	67554-0	9/11/2006	19:32	18320	9/11/2006 19:32
32908-1	34098-8	9/11/2006	12:01	340,19	9/11/2006 12:01
32908-1	33061-1	9/11/2006	14:36	690,59	9/11/2006 14:36
31985-9	67554-0	9/11/2006	08:07	714,31	9/11/2006 08:07
43990-8	67554-0	9/11/2006	14:22	22,54	9/11/2006 14:22
32908-1	51740-7	10/11/2006	20:48	100,6	10/11/2006 20:48
33179-2	34098-8	10/11/2006	16:31	528,28	10/11/2006 16:31
22998-1	51740-7	10/11/2006	10:11	22,41	10/11/2006 10:11
67554-0	38652-2	10/11/2006	16:41	475,85	10/11/2006 16:41
32908-1	34098-8	13/11/2006	16:14	23860	13/11/2006 16:14
34098-8	67554-0	13/11/2006	16:32	23860	13/11/2006 16:32
